Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
1,16.666666,Sedan,4.93,1.86,1.48,-146.336258,-1.714923,0.030511,2e-06,0.0,0.0,3e-06,0.0,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2,33.333332,Sedan,4.93,1.86,1.48,-146.336258,-1.714923,0.030511,2e-06,0.0,0.0,3e-06,0.0,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
3,50.0,Sedan,4.93,1.86,1.48,-146.336258,-1.714923,0.030511,2e-06,-0.0,-0.0,-8e-06,-0.0,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
4,66.666664,Sedan,4.93,1.86,1.48,-146.336258,-1.714923,0.030511,3e-06,0.0,0.0,1.1e-05,0.0,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
5,83.333336,Sedan,4.93,1.86,1.48,-146.336258,-1.714923,0.030511,3e-06,-0.0,0.0,-9e-06,-0.0,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
6,100.0,Sedan,4.93,1.86,1.48,-146.161758,-1.709337,0.030721,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
7,116.666664,Sedan,4.93,1.86,1.48,-146.036911,-1.705476,0.03092,7.806423,7.802691,0.241334,487.668182,15.083358,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
8,133.333328,Sedan,4.93,1.86,1.48,-145.896881,-1.701115,0.03113,8.241238,8.237245,0.256512,25.561949,0.892814,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
9,150.0,Sedan,4.93,1.86,1.48,-145.749466,-1.696494,0.031341,8.676052,8.671791,0.271873,25.561556,0.903587,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,166.666672,Sedan,4.93,1.86,1.48,-145.604172,-1.69191,0.031539,9.085315,9.080796,0.286498,25.562822,0.914099,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
11,183.333328,Sedan,4.93,1.86,1.48,-145.442413,-1.686772,0.03175,9.52013,9.515332,0.302215,25.560938,0.9245,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
12,200.0,Sedan,4.93,1.86,1.48,-145.27327,-1.681364,0.031961,9.954945,9.949861,0.318114,25.56049,0.93527,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
13,216.666672,Sedan,4.93,1.86,1.48,-145.107529,-1.676032,0.032159,10.364207,10.358849,0.333247,25.561749,0.945784,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
14,233.333328,Sedan,4.93,1.86,1.48,-144.924042,-1.67009,0.03237,10.799022,10.793365,0.349502,25.559761,0.956181,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
15,250.0,Sedan,4.93,1.86,1.48,-144.73317,-1.66387,0.032581,11.233836,11.227875,0.36594,25.559423,0.966954,Car,4.940668,2.133547,1.419567,-163.743729,-1.827546,0.058737,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
16,266.666656,Sedan,4.93,1.86,1.48,-144.546982,-1.657764,0.032779,11.643099,11.636845,0.38158,25.560616,0.97747,Car,4.940668,2.133547,1.419567,-163.619492,-1.820235,0.058793,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
17,283.333344,Sedan,4.93,1.86,1.48,-144.341766,-1.650992,0.03299,12.077914,12.071342,0.398373,25.558695,0.987865,Car,4.940668,2.133547,1.419567,-163.489334,-1.812579,0.058708,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
18,300.0,Sedan,4.93,1.86,1.48,-144.129166,-1.643931,0.0332,12.512729,12.505834,0.41535,25.558302,0.998637,Car,4.940668,2.133547,1.419567,-163.353287,-1.804597,0.058461,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
19,316.666656,Sedan,4.93,1.86,1.48,-143.922531,-1.637027,0.033399,12.921992,12.914785,0.431497,25.559484,1.009153,Car,4.940668,2.133547,1.419567,-163.211319,-1.796316,0.058032,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
20,333.333344,Sedan,4.93,1.86,1.48,-143.695587,-1.629397,0.033609,13.356806,13.349262,0.448829,25.557461,1.019544,Car,4.940668,2.133547,1.419567,-163.063446,-1.78777,0.057399,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
21,350.0,Sedan,4.93,1.86,1.48,-143.461258,-1.621469,0.03382,13.791621,13.783734,0.466344,25.55718,1.030319,Car,4.940668,2.133547,1.419567,-162.909653,-1.778996,0.056539,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
22,366.666656,Sedan,4.93,1.86,1.48,-143.234177,-1.613741,0.034018,14.200883,14.192667,0.482998,25.558292,1.040835,Car,4.940668,2.133547,1.419567,-162.749939,-1.770043,0.055429,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
23,383.333344,Sedan,4.93,1.86,1.48,-142.985641,-1.60523,0.03423,14.628675,14.620106,0.500636,25.143454,1.037542,Car,4.940668,2.133547,1.419567,-162.58432,-1.760965,0.054043,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
24,400.0,Sedan,4.93,1.86,1.48,-142.736481,-1.596638,0.03447,14.665057,14.656345,0.505406,2.131742,0.280598,Car,4.940668,2.133547,1.419567,-162.412781,-1.751827,0.052357,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
25,416.666656,Sedan,4.93,1.86,1.48,-142.501434,-1.58848,0.034696,14.699302,14.690454,0.509912,2.13182,0.28161,Car,4.940668,2.133547,1.419567,-162.235306,-1.742701,0.050343,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
26,433.333344,Sedan,4.93,1.86,1.48,-142.251083,-1.579729,0.034937,14.735684,14.726692,0.514716,2.13163,0.282593,Car,4.940668,2.133547,1.419567,-162.05191,-1.733674,0.047975,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
27,450.0,Sedan,4.93,1.86,1.48,-142.000107,-1.570897,0.035178,14.772067,14.762928,0.519537,2.131518,0.28362,Car,4.940668,2.133547,1.419567,-161.862579,-1.72484,0.045224,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
28,466.666656,Sedan,4.93,1.86,1.48,-141.763351,-1.562512,0.035404,14.806312,14.797033,0.524091,2.131581,0.284631,Car,4.940668,2.133547,1.419567,-161.664932,-1.716175,0.04244,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
29,483.333344,Sedan,4.93,1.86,1.48,-141.511185,-1.55352,0.035644,14.842694,14.833266,0.528947,2.13135,0.285615,Car,4.940668,2.133547,1.419567,-161.456604,-1.707613,0.03976,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,500.0,Sedan,4.93,1.86,1.48,-141.258408,-1.544445,0.035885,14.879077,14.869498,0.53382,2.131294,0.286639,Car,4.940668,2.133547,1.419567,-161.237595,-1.699184,0.037224,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
31,516.666687,Sedan,4.93,1.86,1.48,-141.019943,-1.53583,0.036111,14.913321,14.903599,0.538422,2.131283,0.287652,Car,4.940668,2.133547,1.419567,-161.007904,-1.690906,0.034875,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
32,533.333313,Sedan,4.93,1.86,1.48,-140.765961,-1.526594,0.036352,14.949704,14.939828,0.543329,2.131125,0.288634,Car,4.940668,2.133547,1.419567,-160.767532,-1.682782,0.032757,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
33,550.0,Sedan,4.93,1.86,1.48,-140.511368,-1.517273,0.036592,14.986087,14.976055,0.548253,2.131013,0.289661,Car,4.940668,2.133547,1.419567,-160.516495,-1.674794,0.030916,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
34,566.666687,Sedan,4.93,1.86,1.48,-140.27121,-1.508427,0.036819,15.020332,15.010153,0.552904,2.131104,0.290677,Car,4.940668,2.133547,1.419567,-160.254822,-1.66691,0.029378,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
35,583.333313,Sedan,4.93,1.86,1.48,-140.015427,-1.498943,0.037059,15.056715,15.046377,0.557862,2.130845,0.291653,Car,4.940668,2.133547,1.419567,-159.988571,-1.659291,0.02785,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
