Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
17,283.333344,Sedan,4.93,1.86,1.48,-130.156906,-0.78564,0.02389,12.576635,12.573047,0.300422,28.769075,1.594296,Truck,13.465333,3.068987,4.177894,-159.28389,6.01149,0.00621,Car,5.57548,2.385468,1.880301,-154.901474,-1.478662,0.025802,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
18,300.0,Sedan,4.93,1.86,1.48,-129.934845,-0.780052,0.025162,13.066179,13.062043,0.328731,28.7645,1.665261,Truck,13.465333,3.068987,4.177894,-159.094193,6.012718,0.006754,Car,5.57548,2.385468,1.880301,-154.687286,-1.473157,0.025584,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
19,316.666656,Sedan,4.93,1.86,1.48,-129.704483,-0.773961,0.026434,13.555722,13.550986,0.358285,28.761356,1.738466,Truck,13.465333,3.068987,4.177894,-158.898346,6.014102,0.007387,Car,5.57548,2.385468,1.880301,-154.462524,-1.467432,0.02535,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
20,333.333344,Sedan,4.93,1.86,1.48,-129.480301,-0.767765,0.027631,14.016497,14.011147,0.387239,28.760015,1.809627,Truck,13.465333,3.068987,4.177894,-158.693909,6.015678,0.008023,Car,5.57548,2.385468,1.880301,-154.227158,-1.461493,0.025099,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
21,350.0,Sedan,4.93,1.86,1.48,-129.233795,-0.760638,0.028903,14.50604,14.499981,0.419208,28.754963,1.88056,Truck,13.465333,3.068987,4.177894,-158.478455,6.017473,0.008625,Car,5.57548,2.385468,1.880301,-153.981216,-1.455352,0.024832,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
22,366.666656,Sedan,4.93,1.86,1.48,-128.978989,-0.752947,0.030175,14.995583,14.988756,0.452422,28.751484,1.953749,Truck,13.465333,3.068987,4.177894,-158.251984,6.019491,0.009181,Car,5.57548,2.385468,1.880301,-153.724731,-1.449018,0.024547,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
23,383.333344,Sedan,4.93,1.86,1.48,-128.731812,-0.74519,0.031372,15.456357,15.448751,0.484821,28.749702,2.024908,Truck,13.465333,3.068987,4.177894,-158.014481,6.021733,0.009681,Car,5.57548,2.385468,1.880301,-153.463654,-1.442647,0.024246,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
24,400.0,Sedan,4.93,1.86,1.48,-128.460999,-0.73635,0.032633,15.938423,15.929937,0.520034,28.305052,2.071349,Truck,13.465333,3.068987,4.177894,-157.765961,6.024194,0.010111,Car,5.57548,2.385468,1.880301,-153.202072,-1.436343,0.02394,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
25,416.666656,Sedan,4.93,1.86,1.48,-128.189087,-0.727293,0.033294,16.003836,15.994967,0.532728,3.825243,0.746748,Truck,13.465333,3.068987,4.177894,-157.506409,6.026866,0.010459,Car,5.57548,2.385468,1.880301,-152.939987,-1.430108,0.023631,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
26,433.333344,Sedan,4.93,1.86,1.48,-127.93219,-0.718577,0.033915,16.065401,16.056164,0.544756,3.82483,0.751704,Truck,13.465333,3.068987,4.177894,-157.235886,6.029732,0.010718,Car,5.57548,2.385468,1.880301,-152.677399,-1.423943,0.023318,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
27,450.0,Sedan,4.93,1.86,1.48,-127.658127,-0.709098,0.034575,16.130816,16.121174,0.557617,3.824122,0.756579,Truck,13.465333,3.068987,4.177894,-156.960648,6.032717,0.010964,Car,5.57548,2.385468,1.880301,-152.414322,-1.417849,0.023001,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
28,466.666656,Sedan,4.93,1.86,1.48,-127.382965,-0.699398,0.035236,16.196228,16.186174,0.570565,3.823561,0.761639,Truck,13.465333,3.068987,4.177894,-156.685028,6.03577,0.011185,Car,5.57548,2.385468,1.880301,-152.150757,-1.411828,0.02268,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
29,483.333344,Sedan,4.93,1.86,1.48,-127.123009,-0.690073,0.035857,16.257797,16.247347,0.582831,3.82328,0.766605,Truck,13.465333,3.068987,4.177894,-156.409027,6.038885,0.01138,Car,5.57548,2.385468,1.880301,-151.886963,-1.405887,0.022359,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,500.0,Sedan,4.93,1.86,1.48,-126.845695,-0.679942,0.036517,16.323208,16.312326,0.595946,3.822326,0.771463,Truck,13.465333,3.068987,4.177894,-156.13266,6.042054,0.011549,Car,5.57548,2.385468,1.880301,-151.623138,-1.400029,0.022045,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
31,516.666687,Sedan,4.93,1.86,1.48,-126.567284,-0.669586,0.037177,16.388622,16.377296,0.609147,3.821765,0.776529,Truck,13.465333,3.068987,4.177894,-155.855911,6.04527,0.011693,Car,5.57548,2.385468,1.880301,-151.359314,-1.394252,0.021738,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
32,533.333313,Sedan,4.93,1.86,1.48,-126.304268,-0.65964,0.037799,16.450188,16.438438,0.621651,3.821373,0.781495,Truck,13.465333,3.068987,4.177894,-155.578796,6.048528,0.01181,Car,5.57548,2.385468,1.880301,-151.095474,-1.388556,0.021438,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
33,550.0,Sedan,4.93,1.86,1.48,-125.740944,-0.637592,0.039119,16.581013,16.568327,0.648473,3.820251,0.788885,Truck,13.465333,3.068987,4.177894,-155.301529,6.051814,0.011888,Car,5.57548,2.385468,1.880301,-150.831635,-1.382937,0.021145,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
34,566.666687,Sedan,4.93,1.86,1.48,-125.474876,-0.627012,0.039741,16.642582,16.629442,0.661215,3.819704,0.796378,Truck,13.465333,3.068987,4.177894,-155.024307,6.055117,0.011933,Car,5.57548,2.385468,1.880301,-150.567764,-1.377395,0.020859,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
35,583.333313,Sedan,4.93,1.86,1.48,-125.191071,-0.61554,0.040401,16.707994,16.694361,0.674836,3.818736,0.801241,Truck,13.465333,3.068987,4.177894,-154.747131,6.058426,0.011944,Car,5.57548,2.385468,1.880301,-150.303909,-1.371927,0.02058,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
36,600.0,Sedan,4.93,1.86,1.48,-124.906166,-0.603835,0.041061,16.773407,16.75927,0.688543,3.818175,0.8063,Truck,13.465333,3.068987,4.177894,-154.469986,6.061735,0.011923,Car,5.57548,2.385468,1.880301,-150.0401,-1.366533,0.020314,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
