Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
1,16.666666,Sedan,4.93,1.86,1.48,-163.906555,5.914546,6.281206,2e-06,0.0,-0.0,3e-06,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33.333332,Sedan,4.93,1.86,1.48,-163.906555,5.914546,6.281206,2e-06,0.0,-0.0,3e-06,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,50.0,Sedan,4.93,1.86,1.48,-163.906555,5.914545,-0.001979,2e-06,0.0,-0.0,0.0,-0.0,Car,5.57548,2.385468,1.880301,-91.168892,0.892525,0.039192,Car,4.522031,2.151849,1.86761,-141.427719,-1.192987,0.019154,,,,,,,,,,,,,,
4,66.666664,Sedan,4.93,1.86,1.48,-163.906555,5.914545,-0.001979,3e-06,0.0,-0.0,3e-06,-0.0,Car,5.57548,2.385468,1.880301,-90.876633,0.90403,0.039439,Car,4.522031,2.151849,1.86761,-141.175766,-1.188165,0.019121,,,,,,,,,,,,,,
5,83.333336,Sedan,4.93,1.86,1.48,-163.906555,5.914545,-0.001979,3e-06,0.0,-0.0,-0.0,-0.0,Car,5.57548,2.385468,1.880301,-90.584259,0.915582,0.039541,Car,4.522031,2.151849,1.86761,-140.923737,-1.183348,0.0191,,,,,,,,,,,,,,
6,100.0,Sedan,4.93,1.86,1.48,-163.606949,5.914002,-0.00194,0.0,0.0,0.0,0.0,0.0,Car,5.57548,2.385468,1.880301,-90.291756,0.927168,0.039636,Car,4.522031,2.151849,1.86761,-140.6716,-1.178533,0.019093,,,,,,,,,,,,,,
7,116.666664,Sedan,4.93,1.86,1.48,-163.394897,5.913598,-0.001904,13.25276,13.252735,-0.025231,828.295898,-1.57692,Car,5.57548,2.385468,1.880301,-89.99913,0.938786,0.039725,Car,4.522031,2.151849,1.86761,-140.419388,-1.173717,0.019094,,,,,,,,,,,,,,
8,133.333328,Sedan,4.93,1.86,1.48,-163.156448,5.913153,-0.001865,14.02631,14.026285,-0.026159,45.502941,-0.054611,Car,5.57548,2.385468,1.880301,-89.706375,0.950434,0.039808,Car,4.522031,2.151849,1.86761,-140.167053,-1.168898,0.019099,,,,,,,,,,,,,,
9,150.0,Sedan,4.93,1.86,1.48,-162.904846,5.912694,-0.001826,14.799861,14.799836,-0.027027,45.502998,-0.051079,Car,5.57548,2.385468,1.880301,-89.413498,0.96211,0.039884,Car,4.522031,2.151849,1.86761,-139.914627,-1.164075,0.019107,,,,,,,,,,,,,,
10,166.666672,Sedan,4.93,1.86,1.48,-162.656403,5.912249,-0.00179,15.527953,15.527928,-0.02779,45.50576,-0.047654,Car,5.57548,2.385468,1.880301,-89.120499,0.973812,0.039954,Car,4.522031,2.151849,1.86761,-139.662094,-1.159248,0.019119,,,,,,,,,,,,,,
11,183.333328,Sedan,4.93,1.86,1.48,-162.379272,5.911764,-0.001751,16.301504,16.301479,-0.028542,45.502998,-0.044224,Car,5.57548,2.385468,1.880301,-88.827377,0.98554,0.040023,Car,4.522031,2.151849,1.86761,-139.409454,-1.154415,0.019136,,,,,,,,,,,,,,
12,200.0,Sedan,4.93,1.86,1.48,-162.089005,5.911267,-0.001712,17.075054,17.075029,-0.029234,45.502941,-0.040692,Car,5.57548,2.385468,1.880301,-88.534119,0.997294,0.040097,Car,4.522031,2.151849,1.86761,-139.156708,-1.149576,0.019156,,,,,,,,,,,,,,
13,216.666672,Sedan,4.93,1.86,1.48,-161.804153,5.910789,-0.001676,17.803146,17.803122,-0.02983,45.50576,-0.037267,Car,5.57548,2.385468,1.880301,-88.24073,1.009076,0.040177,Car,4.522031,2.151849,1.86761,-138.90387,-1.144729,0.019179,,,,,,,,,,,,,,
