Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
1,16.666666,Sedan,4.93,1.86,1.48,-162.825928,-2.57888,0.030839,1e-06,0.0,0.0,1e-06,0.0,Car,4.20256,2.002182,1.370535,-143.562866,-1.608899,0.030938,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
2,33.333332,Sedan,4.93,1.86,1.48,-162.825928,-2.57888,0.030839,1e-06,0.0,0.0,1e-06,0.0,Car,4.20256,2.002182,1.370535,-143.562866,-1.608899,0.030938,,,,,,,,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
3,50.0,Sedan,4.93,1.86,1.48,-162.825928,-2.57888,0.030839,3e-06,0.0,0.0,1e-06,0.0,Car,4.20256,2.002182,1.370535,-143.562866,-1.608899,0.030937,Truck,13.465333,3.068987,4.177894,-126.447968,-1.292123,0.037626,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
4,66.666664,Sedan,4.93,1.86,1.48,-162.825928,-2.57888,0.030839,3e-06,0.0,0.0,-1e-06,-0.0,Car,4.20256,2.002182,1.370535,-143.299057,-1.600744,0.030866,Truck,13.465333,3.068987,4.177894,-126.185699,-1.282156,0.03835,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
5,83.333336,Sedan,4.93,1.86,1.48,-162.825928,-2.57888,0.030839,3e-06,-0.0,0.0,-2e-06,-0.0,Car,4.20256,2.002182,1.370535,-143.034485,-1.592585,0.030797,Truck,13.465333,3.068987,4.177894,-125.922401,-1.271958,0.039071,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
6,100.0,Sedan,4.93,1.86,1.48,-162.825928,-2.57888,0.030842,0.0,0.0,0.0,0.0,0.0,Car,4.20256,2.002182,1.370535,-142.769135,-1.584419,0.03073,Truck,13.465333,3.068987,4.177894,-125.658066,-1.261529,0.039792,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
7,116.666664,Sedan,4.93,1.86,1.48,-162.622086,-2.572597,0.030814,11.995997,11.990302,0.369581,705.311829,21.740084,Car,4.20256,2.002182,1.370535,-142.503006,-1.576247,0.030666,Truck,13.465333,3.068987,4.177894,-125.392693,-1.250869,0.04051,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
8,133.333328,Sedan,4.93,1.86,1.48,-162.428558,-2.566638,0.030787,12.101005,12.09527,0.372489,6.560504,0.18172,Car,4.20256,2.002182,1.370535,-142.236099,-1.568068,0.030604,Truck,13.465333,3.068987,4.177894,-125.126289,-1.239975,0.041227,,,,,,,,Car,0.0,0.0,0.0,0.0,0.0,0.0
9,150.0,Sedan,4.93,1.86,1.48,-162.221039,-2.560253,0.030758,12.212569,12.206793,0.375572,6.560157,0.181342,Car,4.20256,2.002182,1.370535,-141.968414,-1.559881,0.030545,Truck,13.465333,3.068987,4.177894,-124.858856,-1.228847,0.041942,Truck,16.372795,3.010513,4.117065,-155.222626,10.318805,0.017507,Car,0.0,0.0,0.0,0.0,0.0,0.0
10,166.666672,Sedan,4.93,1.86,1.48,-161.811066,-2.547662,0.030702,12.429142,12.423285,0.381538,6.560355,0.180793,Car,4.20256,2.002182,1.370535,-141.699951,-1.551686,0.030488,Truck,13.465333,3.068987,4.177894,-124.590378,-1.217484,0.042655,Truck,16.372795,3.010513,4.117065,-154.958054,10.323446,0.017569,Car,0.0,0.0,0.0,0.0,0.0,0.0
