Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
1,16.666666,Truck,5.53,2.69,3.17,-164.419006,-2.215677,6.235857,1e-06,0.0,-0.0,2e-06,-0.0,,,,,,,,Car,4.522031,2.151849,1.86761,-132.335266,-1.251585,0.047276,,,,,,,,,,,,,,
2,33.333332,Truck,5.53,2.69,3.17,-164.419006,-2.215677,6.235857,1e-06,0.0,-0.0,2e-06,-0.0,,,,,,,,Car,4.522031,2.151849,1.86761,-132.335266,-1.251585,0.047276,,,,,,,,,,,,,,
3,50.0,Truck,5.53,2.69,3.17,-164.419006,-2.215677,-0.047328,2e-06,0.0,-0.0,2e-06,-0.0,,,,,,,,Car,4.522031,2.151849,1.86761,-132.335266,-1.251585,0.047278,,,,,,,,,,,,,,
4,66.666664,Truck,5.53,2.69,3.17,-164.419006,-2.215677,-0.047328,2e-06,0.0,-0.0,2e-06,-0.0,,,,,,,,Car,4.522031,2.151849,1.86761,-132.1073,-1.240622,0.048489,,,,,,,,,,,,,,
5,83.333336,Truck,5.53,2.69,3.17,-164.419006,-2.215677,-0.047328,2e-06,0.0,-0.0,-6e-06,0.0,,,,,,,,Car,4.522031,2.151849,1.86761,-131.879272,-1.229513,0.048859,,,,,,,,,,,,,,
6,100.0,Truck,5.53,2.69,3.17,-164.263947,-2.220041,-0.044676,0.0,0.0,0.0,0.0,0.0,,,,,,,,Car,4.522031,2.151849,1.86761,-131.651154,-1.21832,0.049188,,,,,,,,,,,,,,
7,116.666664,Truck,5.53,2.69,3.17,-164.153122,-2.224717,-0.042173,6.93262,6.926456,-0.292286,432.903473,-18.267855,,,,,,,,Car,4.522031,2.151849,1.86761,-131.422943,-1.207053,0.049474,,,,,,,,,,,,,,
8,133.333328,Truck,5.53,2.69,3.17,-164.028778,-2.229633,-0.039515,7.319693,7.313979,-0.289161,22.795479,0.183798,,,,,,,,Car,4.522031,2.151849,1.86761,-131.194672,-1.195721,0.049717,,,,,,,,,,,,,,
9,150.0,Truck,5.53,2.69,3.17,-163.897858,-2.234461,-0.036856,7.706766,7.701532,-0.283978,22.797247,0.30489,,,,,,,,Car,4.522031,2.151849,1.86761,-130.966309,-1.184334,0.049919,,,,,,,,,,,,,,
10,166.666672,Truck,5.53,2.69,3.17,-163.768799,-2.238896,-0.034354,8.071093,8.06633,-0.277219,22.799849,0.422461,,,,,,,,Car,4.522031,2.151849,1.86761,-130.737869,-1.172902,0.050079,,,,,,,,,,,,,,
11,183.333328,Truck,5.53,2.69,3.17,-163.625076,-2.243453,-0.031695,8.458165,8.453918,-0.268039,22.799267,0.539988,,,,,,,,Car,4.522031,2.151849,1.86761,-130.509338,-1.161432,0.050219,,,,,,,,,,,,,,
12,200.0,Truck,5.53,2.69,3.17,-163.474777,-2.247818,-0.029037,8.845239,8.84151,-0.2568,22.799547,0.661105,,,,,,,,Car,4.522031,2.151849,1.86761,-130.280746,-1.149926,0.050363,,,,,,,,,,,,,,
