Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
1,16.666666,Sedan,4.93,1.86,1.48,-163.511642,8.676863,0.003614,1e-06,0.0,0.0,4e-06,0.0,,,,,,,,,,,,,,,Car,4.20256,2.002182,1.370535,-69.21228,1.683168,0.040298,,,,,,,
2,33.333332,Sedan,4.93,1.86,1.48,-163.511642,8.676863,0.003614,1e-06,0.0,0.0,4e-06,0.0,,,,,,,,,,,,,,,Car,4.20256,2.002182,1.370535,-69.21228,1.683168,0.040298,,,,,,,
3,50.0,Sedan,4.93,1.86,1.48,-163.511642,8.676863,0.003615,1e-06,0.0,0.0,1e-06,0.0,Car,4.365002,2.123602,1.659208,-47.504005,2.659831,0.049287,Car,4.240737,2.075461,1.863113,-38.299469,6.529432,0.007073,Car,4.20256,2.002182,1.370535,-69.21228,1.683168,0.040298,Car,4.572554,2.229681,1.414193,-124.65976,8.836132,0.00847
4,66.666664,Sedan,4.93,1.86,1.48,-163.511642,8.676863,0.003615,2e-06,-0.0,-0.0,-1.6e-05,-0.0,Car,4.365002,2.123602,1.659208,-47.303204,2.669766,0.049522,Car,4.240737,2.075461,1.863113,-38.060081,6.531085,0.006802,Car,4.20256,2.002182,1.370535,-68.986496,1.692278,0.040347,Car,4.572554,2.229681,1.414193,-124.269623,8.839442,0.008501
5,83.333336,Sedan,4.93,1.86,1.48,-163.511642,8.676863,0.003614,0.0,0.0,0.0,0.0,0.0,Car,4.365002,2.123602,1.659208,-47.102455,2.679723,0.049592,Car,4.240737,2.075461,1.863113,-37.820618,6.532701,0.006702,Car,4.20256,2.002182,1.370535,-68.76075,1.701396,0.040398,Car,4.572554,2.229681,1.414193,-123.879669,8.842762,0.008519
6,100.0,Sedan,4.93,1.86,1.48,-163.322052,8.677547,0.003612,11.15223,11.152158,0.040285,656.009216,2.369685,Car,4.365002,2.123602,1.659208,-46.901752,2.689691,0.049654,Car,4.240737,2.075461,1.863113,-37.581085,6.534295,0.006609,Car,4.20256,2.002182,1.370535,-68.535049,1.710525,0.040451,Car,4.572554,2.229681,1.414193,-123.489891,8.846085,0.008527
7,116.666664,Sedan,4.93,1.86,1.48,-163.133957,8.678226,0.00361,11.75613,11.756054,0.042442,37.743507,0.134861,Car,4.365002,2.123602,1.659208,-46.701088,2.699669,0.049708,Car,4.240737,2.075461,1.863113,-37.341476,6.535869,0.006524,Car,4.20256,2.002182,1.370535,-68.309387,1.719664,0.040505,Car,4.572554,2.229681,1.414193,-123.100281,8.849406,0.008526
8,133.333328,Sedan,4.93,1.86,1.48,-162.923203,8.678987,0.003608,12.397736,12.397655,0.044732,37.741211,0.134696,Car,4.365002,2.123602,1.659208,-46.500473,2.709654,0.049753,Car,4.240737,2.075461,1.863113,-37.101795,6.537423,0.006448,Car,4.20256,2.002182,1.370535,-68.083778,1.728814,0.040562,Car,4.572554,2.229681,1.414193,-122.710854,8.852726,0.008522
9,150.0,Sedan,4.93,1.86,1.48,-162.701538,8.679786,0.003606,13.03934,13.039255,0.047019,37.741211,0.134534,Car,4.365002,2.123602,1.659208,-46.299896,2.719645,0.04979,Car,4.240737,2.075461,1.863113,-36.862041,6.53896,0.006379,Car,4.20256,2.002182,1.370535,-67.858208,1.737975,0.040619,Car,4.572554,2.229681,1.414193,-122.321594,8.856042,0.008515
10,166.666672,Sedan,4.93,1.86,1.48,-162.483246,8.680573,0.003604,13.643241,13.643152,0.04917,37.743568,0.134386,Car,4.365002,2.123602,1.659208,-46.099365,2.729641,0.049818,Car,4.240737,2.075461,1.863113,-36.622215,6.540483,0.006319,Car,4.20256,2.002182,1.370535,-67.63269,1.747147,0.040678,Car,4.572554,2.229681,1.414193,-121.932518,8.859353,0.008505
