rec_time,UTC,Pupil X,Pupil Y,Left Eye_Pupil X,Left Eye_Pupil Y,Left Eye_Pupil Area,Left Eye_Pupil Height,Left Eye_Pupil Width,Left Eye_Fixations_Fixations,Left Eye_Fixations_Fixations Duration,Left Eye_Saccades_Saccades,Left Eye_Saccades_Saccades Duration,Left Eye_Saccades_Saccades Angle,Right Eye_Pupil X,Right Eye_Pupil Y,Right Eye_Pupil Area,Right Eye_Pupil Height,Right Eye_Pupil Width,Right Eye_Fixations_Fixations,Right Eye_Fixations_Fixations Duration,Right Eye_Saccades_Saccades,Right Eye_Saccades_Saccades Duration,Right Eye_Saccades_Saccades Angle
00:05:18.319,1705395169655,165.067,131.118,139.202,136.164,496.582,26.241,24.107,1,0,0,0,0.0,190.932,126.072,680.144,30.536,28.374,1.0,0.0,0.0,0.0,0.0
00:05:18.335,1705395169671,164.944,130.321,137.652,133.876,470.504,26.08,22.982,1,0,0,0,0.0,192.236,126.767,649.752,30.604,27.046,1.0,0.0,0.0,0.0,0.0
00:05:18.352,1705395169688,161.947,128.285,135.964,132.9,480.909,25.905,23.649,1,0,0,0,0.0,187.93,123.67,701.879,30.501,29.314,0.0,183.0,1.0,0.0,0.0
00:05:18.369,1705395169705,161.061,126.74,136.361,131.837,509.118,26.328,24.634,1,0,0,0,0.0,185.762,121.642,641.078,30.052,27.175,1.0,0.0,0.0,17.0,1.721
00:05:18.385,1705395169721,162.587,125.865,137.929,132.534,506.958,26.218,24.632,1,0,0,0,0.0,187.246,119.196,554.497,29.732,23.758,1.0,0.0,0.0,0.0,0.0
00:05:18.402,1705395169738,163.151,127.05,138.185,132.23,474.676,25.997,23.259,1,0,0,0,0.0,188.117,121.87,662.281,29.665,28.44,1.0,0.0,0.0,0.0,0.0
00:05:18.419,1705395169755,163.681,127.059,138.477,132.943,471.588,26.228,22.905,1,0,0,0,0.0,188.885,121.175,657.839,30.363,27.6,1.0,0.0,0.0,0.0,0.0
00:05:18.435,1705395169771,164.474,127.206,139.145,132.198,470.129,26.14,22.911,1,0,0,0,0.0,189.802,122.213,700.411,31.843,28.02,1.0,0.0,0.0,0.0,0.0
00:05:18.452,1705395169788,165.066,127.302,139.896,133.229,483.135,25.946,23.72,1,0,0,0,0.0,190.235,121.375,684.004,31.525,27.64,1.0,0.0,0.0,0.0,0.0
00:05:18.469,1705395169805,165.018,126.848,139.427,132.001,459.248,25.824,22.654,1,0,0,0,0.0,190.608,121.695,672.165,31.526,27.16,1.0,0.0,0.0,0.0,0.0
00:05:18.485,1705395169821,164.625,127.119,138.992,132.792,450.16,25.005,22.934,1,0,0,0,0.0,190.258,121.445,622.391,30.479,26.013,1.0,0.0,0.0,0.0,0.0
00:05:18.502,1705395169838,165.95,127.298,140.454,131.891,421.465,25.242,21.27,1,0,0,0,0.0,191.446,122.706,573.264,27.706,26.358,1.0,0.0,0.0,0.0,0.0
00:05:18.519,1705395169855,181.065,127.302,0.0,0.0,0.0,0.0,0.0,0,350,0,0,0.0,199.606,121.477,464.776,29.737,19.91,0.0,150.0,1.0,0.0,0.0
