Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
19,316.666656,Truck,5.53,2.69,3.17,-158.132828,5.686587,-0.000776,20.833738,20.833731,-0.016164,43.213364,0.692907,Sedan,4.365002,2.123602,1.659208,-131.403015,-0.978072,0.034006,Sedan,4.20256,2.002182,1.370535,-151.9953,-1.557304,0.020345,,,,,,,,,,,,,,
20,333.333344,Truck,5.53,2.69,3.17,-157.766159,5.686528,-0.000163,21.568304,21.568304,-0.003511,43.210197,0.744289,Sedan,4.365002,2.123602,1.659208,-131.208084,-0.971416,0.034263,Sedan,4.20256,2.002182,1.370535,-151.790665,-1.553103,0.0207,,,,,,,,,,,,,,
21,350,Truck,5.53,2.69,3.17,-157.387009,5.686698,0.00045,22.302872,22.30287,0.010043,43.209747,0.79727,Sedan,4.365002,2.123602,1.659208,-131.012985,-0.964703,0.034518,Sedan,4.20256,2.002182,1.370535,-151.58606,-1.548831,0.021055,,,,,,,,,,,,,,
22,366.666656,Truck,5.53,2.69,3.17,-157.019104,5.687077,0.001027,22.99427,22.994259,0.023623,43.211815,0.848746,Sedan,4.365002,2.123602,1.659208,-130.817719,-0.957936,0.03477,Sedan,4.20256,2.002182,1.370535,-151.381485,-1.544487,0.021407,,,,,,,,,,,,,,
23,383.333344,Truck,5.53,2.69,3.17,-156.615906,5.687736,0.001636,23.717306,23.717274,0.038795,42.530281,0.892501,Sedan,4.365002,2.123602,1.659208,-130.622284,-0.951113,0.035024,Sedan,4.20256,2.002182,1.370535,-151.176971,-1.540073,0.021755,,,,,,,,,,,,,,
24,400,Truck,5.53,2.69,3.17,-156.211349,5.688539,0.001984,23.797709,23.797661,0.047222,4.728653,0.495706,Sedan,4.365002,2.123602,1.659208,-130.426697,-0.944234,0.035277,Sedan,4.20256,2.002182,1.370535,-150.972488,-1.535588,0.022099,,,,,,,,,,,,,,
25,416.666656,Truck,5.53,2.69,3.17,-155.829376,5.689422,0.002312,23.873386,23.873323,0.055205,4.728913,0.498937,Sedan,4.365002,2.123602,1.659208,-130.230927,-0.937301,0.035529,Sedan,4.20256,2.002182,1.370535,-150.768066,-1.531035,0.022439,,,,,,,,,,,,,,
26,433.333344,Truck,5.53,2.69,3.17,-155.422165,5.690506,0.002661,23.953791,23.953705,0.063741,4.728317,0.502106,Sedan,4.365002,2.123602,1.659208,-130.034988,-0.930312,0.03578,Sedan,4.20256,2.002182,1.370535,-150.563675,-1.526413,0.022775,,,,,,,,,,,,,,
27,450,Truck,5.53,2.69,3.17,-155.01358,5.691735,0.00301,24.034193,24.034082,0.072333,4.728093,0.505403,Sedan,4.365002,2.123602,1.659208,-129.838882,-0.923268,0.03603,Sedan,4.20256,2.002182,1.370535,-150.359329,-1.521724,0.023108,,,,,,,,,,,,,,
28,466.666656,Truck,5.53,2.69,3.17,-154.627823,5.693023,0.003338,24.109869,24.109735,0.080471,4.728317,0.508634,Sedan,4.365002,2.123602,1.659208,-129.642624,-0.916169,0.036279,Sedan,4.20256,2.002182,1.370535,-150.154999,-1.516968,0.023437,,,,,,,,,,,,,,
