rec_time,UTC,Pupil X,Pupil Y,Left Eye_Pupil X,Left Eye_Pupil Y,Left Eye_Pupil Area,Left Eye_Pupil Height,Left Eye_Pupil Width,Left Eye_Fixations_Fixations,Left Eye_Fixations_Fixations Duration,Left Eye_Saccades_Saccades,Left Eye_Saccades_Saccades Duration,Left Eye_Saccades_Saccades Angle,Right Eye_Pupil X,Right Eye_Pupil Y,Right Eye_Pupil Area,Right Eye_Pupil Height,Right Eye_Pupil Width,Right Eye_Fixations_Fixations,Right Eye_Fixations_Fixations Duration,Right Eye_Saccades_Saccades,Right Eye_Saccades_Saccades Duration,Right Eye_Saccades_Saccades Angle
00:08:22.195,1705394142461,156.773,100.113,115.164,96.015,432.121,26.299,20.931,1,0,0,0,0.0,198.382,104.21,538.599,31.105,22.058,1,0,0,0,0.0
00:08:22.211,1705394142477,156.42,99.908,114.888,96.207,428.011,25.947,21.013,1,0,0,0,0.0,197.952,103.61,547.483,30.539,22.837,1,0,0,0,0.0
00:08:22.228,1705394142494,156.342,99.885,114.415,95.897,423.525,25.714,20.982,1,0,0,0,0.0,198.27,103.872,555.384,31.602,22.388,1,0,0,0,0.0
00:08:22.245,1705394142511,156.5,100.108,114.336,96.694,428.908,25.92,21.08,1,0,0,0,0.0,198.664,103.522,562.721,31.781,22.556,1,0,0,0,0.0
00:08:22.261,1705394142527,156.479,100.005,114.011,96.195,414.494,25.392,20.795,1,0,0,0,0.0,198.947,103.815,542.103,31.051,22.24,1,0,0,0,0.0
00:08:22.278,1705394142544,156.126,100.278,113.748,96.952,429.303,25.799,21.198,1,0,0,0,0.0,198.504,103.604,558.881,31.486,22.612,1,0,0,0,0.0
00:08:22.295,1705394142561,156.285,100.133,113.482,96.456,420.561,25.607,20.922,1,0,0,0,0.0,199.088,103.811,534.798,30.358,22.442,1,0,0,0,0.0
00:08:22.311,1705394142577,155.861,100.153,113.141,97.12,428.127,25.791,21.146,1,0,0,0,0.0,198.582,103.185,538.422,31.603,21.703,1,0,0,0,0.0
00:08:22.328,1705394142594,155.375,100.302,112.613,96.589,427.733,25.829,21.096,1,0,0,0,0.0,198.136,104.015,546.921,30.83,22.598,1,0,0,0,0.0
00:08:22.345,1705394142611,154.788,100.273,111.995,97.328,425.331,25.749,21.042,1,0,0,0,0.0,197.582,103.218,523.563,30.366,21.964,1,0,0,0,0.0
00:08:22.361,1705394142627,154.019,100.439,111.085,96.762,410.081,25.474,20.507,1,0,0,0,0.0,196.953,104.116,541.941,30.294,22.789,1,0,0,0,0.0
00:08:22.378,1705394142644,153.704,100.345,111.11,97.306,400.25,24.996,20.398,1,0,0,0,0.0,196.298,103.383,526.716,29.834,22.49,1,0,0,0,0.0
00:08:22.395,1705394142661,160.359,98.604,120.316,93.072,219.94,17.915,15.639,0,667,1,0,0.0,200.402,104.136,418.696,25.447,20.96,0,650,1,0,0.0
00:08:22.411,1705394142677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16,1.159,0.0,0.0,0.0,0.0,0.0,0,0,0,16,1.257
00:08:22.428,1705394142694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
00:08:22.445,1705394142711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
00:08:22.461,1705394142727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
00:08:22.478,1705394142744,250.276,113.04,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,250.276,113.04,313.624,24.041,16.618,0,0,0,0,0.0
00:08:22.495,1705394142761,254.37,113.382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,254.37,113.382,422.185,26.975,19.938,0,0,1,0,0.0
00:08:22.511,1705394142777,257.446,115.598,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,257.446,115.598,457.103,29.529,19.719,1,0,0,16,0.0
00:08:22.528,1705394142794,259.441,119.026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,259.441,119.026,467.821,30.113,19.79,1,0,0,0,0.0
00:08:22.545,1705394142811,259.332,118.79,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,259.332,118.79,481.053,30.126,20.342,1,0,0,0,0.0
00:08:22.561,1705394142827,257.915,118.408,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,257.915,118.408,488.429,29.848,20.846,1,0,0,0,0.0
00:08:22.578,1705394142844,256.649,117.097,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,256.649,117.097,505.692,30.103,21.4,1,0,0,0,0.0
00:08:22.595,1705394142861,255.711,117.085,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,255.711,117.085,516.211,30.696,21.423,1,0,0,0,0.0
00:08:22.611,1705394142877,213.427,102.833,172.154,89.593,234.875,20.155,14.845,0,0,0,0,0.0,254.7,116.074,519.75,30.602,21.636,1,0,0,0,0.0
00:08:22.628,1705394142894,253.916,116.552,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,253.916,116.552,543.347,30.842,22.442,1,0,0,0,0.0
00:08:22.645,1705394142911,253.239,115.744,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,253.239,115.744,544.533,30.784,22.533,1,0,0,0,0.0
00:08:22.661,1705394142927,252.665,116.047,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,252.665,116.047,550.182,30.71,22.822,1,0,0,0,0.0
00:08:22.678,1705394142944,210.468,103.278,168.67,91.034,256.748,21.994,14.871,0,0,0,0,0.0,252.267,115.522,566.802,31.332,23.045,1,0,0,0,0.0
00:08:22.695,1705394142961,251.906,115.99,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.906,115.99,571.395,30.994,23.485,1,0,0,0,0.0
00:08:22.711,1705394142977,251.888,115.498,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.888,115.498,585.963,31.675,23.566,1,0,0,0,0.0
00:08:22.728,1705394142994,209.31,103.56,167.046,91.026,297.529,22.23,17.05,0,0,0,0,0.0,251.574,116.094,595.03,31.63,23.964,1,0,0,0,0.0
00:08:22.745,1705394143011,251.321,115.487,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.321,115.487,603.336,31.84,24.139,1,0,0,0,0.0
00:08:22.761,1705394143027,208.916,103.279,166.563,90.369,279.386,22.4,15.889,0,0,0,0,0.0,251.27,116.189,619.045,32.311,24.406,1,0,0,0,0.0
00:08:22.778,1705394143044,251.207,115.472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.207,115.472,621.256,32.207,24.572,1,0,0,0,0.0
00:08:22.795,1705394143061,208.541,103.096,165.796,89.837,277.04,23.731,14.871,0,0,0,0,0.0,251.285,116.355,637.829,32.963,24.65,1,0,0,0,0.0
00:08:22.811,1705394143077,251.123,115.699,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.123,115.699,644.775,32.8,25.042,1,0,0,0,0.0
00:08:22.828,1705394143094,251.031,116.225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.031,116.225,656.754,33.291,25.131,1,0,0,0,0.0
00:08:22.845,1705394143111,251.156,115.761,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.156,115.761,665.343,33.374,25.396,1,0,0,0,0.0
00:08:22.861,1705394143127,208.885,103.605,166.613,90.841,295.863,23.954,15.734,0,0,0,0,0.0,251.158,116.369,678.829,33.675,25.68,1,0,0,0,0.0
00:08:22.878,1705394143144,251.442,115.845,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.442,115.845,674.223,33.628,25.541,1,0,0,0,0.0
00:08:22.895,1705394143161,251.372,116.307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,251.372,116.307,682.457,33.878,25.662,1,0,0,0,0.0
00:08:22.911,1705394143177,247.314,118.397,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,247.314,118.397,478.932,28.067,21.738,0,400,1,0,0.0
00:08:22.928,1705394143194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17,2.555
00:08:22.945,1705394143211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
00:08:22.961,1705394143227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
00:08:22.978,1705394143244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
00:08:22.995,1705394143261,150.634,104.56,119.627,99.809,451.535,29.499,19.499,0,0,0,0,0.0,181.641,109.311,618.418,34.018,23.158,0,0,0,0,0.0
00:08:23.011,1705394143277,148.117,103.171,120.008,98.515,599.818,30.31,25.209,1,0,0,0,0.0,176.227,107.827,754.0,36.719,26.158,0,0,1,0,0.0
