rec_time,UTC,Pupil X,Pupil Y,Left Eye_Pupil X,Left Eye_Pupil Y,Left Eye_Pupil Area,Left Eye_Pupil Height,Left Eye_Pupil Width,Left Eye_Fixations_Fixations,Left Eye_Fixations_Fixations Duration,Left Eye_Saccades_Saccades,Left Eye_Saccades_Saccades Duration,Left Eye_Saccades_Saccades Angle,Right Eye_Pupil X,Right Eye_Pupil Y,Right Eye_Pupil Area,Right Eye_Pupil Height,Right Eye_Pupil Width,Right Eye_Fixations_Fixations,Right Eye_Fixations_Fixations Duration,Right Eye_Saccades_Saccades,Right Eye_Saccades_Saccades Duration,Right Eye_Saccades_Saccades Angle
00:05:24.676,1705632869898,177.015,133.809,187.484,131.858,694.15,32.958,26.83,0,300,1,0,0.0,166.661,129.654,742.661,32.603,29.018,1.0,0.0,0.0,0.0,0.0
00:05:24.693,1705632869915,177.199,136.425,187.624,134.331,714.953,33.186,27.444,1,0,0,17,3.475,166.546,135.76,762.939,32.925,29.519,0.0,300.0,1.0,0.0,0.0
00:05:24.710,1705632869932,177.201,136.267,187.127,134.714,719.901,32.884,27.888,1,0,0,0,0.0,166.774,138.518,832.841,34.001,31.203,1.0,0.0,0.0,17.0,4.027
00:05:24.726,1705632869948,177.363,135.662,187.147,134.257,707.083,32.938,27.346,1,0,0,0,0.0,167.276,137.819,782.455,33.408,29.836,1.0,0.0,0.0,0.0,0.0
00:05:24.743,1705632869965,177.24,135.722,186.814,134.431,721.864,32.716,28.108,1,0,0,0,0.0,167.578,137.067,741.163,33.322,28.334,1.0,0.0,0.0,0.0,0.0
00:05:24.760,1705632869982,177.201,135.871,186.787,134.429,718.048,32.681,27.989,1,0,0,0,0.0,167.667,137.014,749.183,32.979,28.939,1.0,0.0,0.0,0.0,0.0
00:05:24.776,1705632869998,176.983,135.986,186.586,134.322,709.234,32.451,27.841,1,0,0,0,0.0,167.614,137.312,759.495,33.025,29.296,1.0,0.0,0.0,0.0,0.0
00:05:24.793,1705632870015,177.423,135.248,186.64,134.347,707.665,32.65,27.61,1,0,0,0,0.0,167.38,137.649,775.269,33.203,29.744,1.0,0.0,0.0,0.0,0.0
00:05:24.810,1705632870032,177.155,135.757,186.613,134.147,697.185,32.427,27.389,1,0,0,0,0.0,168.206,136.15,683.592,33.036,26.359,1.0,0.0,0.0,0.0,0.0
00:05:24.826,1705632870048,178.119,135.327,186.548,134.257,695.2,32.436,27.303,1,0,0,0,0.0,167.697,137.366,751.692,32.502,29.462,1.0,0.0,0.0,0.0,0.0
00:05:24.843,1705632870065,177.096,135.728,186.543,134.028,677.997,32.199,26.824,1,0,0,0,0.0,169.691,136.397,635.181,31.288,25.861,1.0,0.0,0.0,0.0,0.0
00:05:24.860,1705632870082,177.392,135.866,186.518,134.808,710.473,32.289,28.03,1,0,0,0,0.0,167.648,137.428,755.624,33.352,28.862,1.0,0.0,0.0,0.0,0.0
00:05:24.876,1705632870098,177.394,135.43,186.488,134.299,676.237,31.683,27.189,1,0,0,0,0.0,168.266,136.925,714.395,32.683,27.845,1.0,0.0,0.0,0.0,0.0
00:05:24.893,1705632870115,177.199,135.56,186.06,134.02,658.519,31.847,26.341,1,0,0,0,0.0,168.299,136.562,690.35,32.812,26.802,1.0,0.0,0.0,0.0,0.0
00:05:24.910,1705632870132,177.381,135.136,186.431,134.354,671.093,31.658,27.004,1,0,0,0,0.0,168.338,137.099,705.087,32.433,27.694,1.0,0.0,0.0,0.0,0.0
00:05:24.926,1705632870148,177.397,135.596,186.508,134.294,666.098,31.674,26.79,1,0,0,0,0.0,168.331,135.919,652.024,32.599,25.479,1.0,0.0,0.0,0.0,0.0
00:05:24.943,1705632870165,177.411,135.392,186.488,134.231,654.994,31.494,26.493,1,0,0,0,0.0,168.287,136.897,691.152,32.016,27.5,1.0,0.0,0.0,0.0,0.0
00:05:24.960,1705632870182,177.103,135.993,186.455,134.339,649.997,31.433,26.343,1,0,0,0,0.0,168.334,136.554,671.113,32.072,26.656,1.0,0.0,0.0,0.0,0.0
00:05:24.976,1705632870198,177.663,135.189,186.341,134.396,635.089,31.398,25.767,1,0,0,0,0.0,167.752,137.647,736.101,32.842,28.552,1.0,0.0,0.0,0.0,0.0
00:05:24.993,1705632870215,177.484,135.378,186.544,134.439,648.85,31.046,26.624,1,0,0,0,0.0,168.986,135.981,628.115,32.151,24.887,1.0,0.0,0.0,0.0,0.0
00:05:25.010,1705632870232,177.35,135.691,186.554,134.323,639.411,31.176,26.127,1,0,0,0,0.0,168.424,136.317,640.708,31.642,25.795,1.0,0.0,0.0,0.0,0.0
00:05:25.026,1705632870248,177.337,135.696,186.455,134.285,634.436,31.013,26.06,1,0,0,0,0.0,168.146,137.059,681.958,31.411,27.657,1.0,0.0,0.0,0.0,0.0
00:05:25.043,1705632870265,177.514,135.26,186.498,134.474,623.192,30.833,25.748,1,0,0,0,0.0,168.218,137.108,683.234,31.512,27.62,1.0,0.0,0.0,0.0,0.0
00:05:25.060,1705632870282,177.43,135.616,186.526,134.343,625.744,30.71,25.956,1,0,0,0,0.0,168.531,136.047,621.223,31.645,25.008,1.0,0.0,0.0,0.0,0.0
00:05:25.076,1705632870298,177.444,135.653,186.561,134.207,613.696,30.754,25.42,1,0,0,0,0.0,168.334,136.889,668.778,31.427,27.109,1.0,0.0,0.0,0.0,0.0
00:05:25.093,1705632870315,177.618,135.631,186.43,134.43,609.958,30.294,25.65,1,0,0,0,0.0,168.327,137.099,671.277,31.598,27.062,1.0,0.0,0.0,0.0,0.0
00:05:25.110,1705632870332,177.745,135.297,186.472,134.197,599.797,30.66,24.921,1,0,0,0,0.0,168.806,136.831,649.126,30.96,26.709,1.0,0.0,0.0,0.0,0.0
00:05:25.126,1705632870348,177.662,135.564,186.564,134.404,615.953,30.505,25.722,1,0,0,0,0.0,169.019,136.397,616.839,31.063,25.296,1.0,0.0,0.0,0.0,0.0
00:05:25.143,1705632870365,177.694,135.277,186.619,134.267,605.737,30.687,25.145,1,0,0,0,0.0,168.761,136.724,644.651,30.967,26.519,1.0,0.0,0.0,0.0,0.0
00:05:25.160,1705632870382,177.358,135.47,186.394,134.318,599.133,30.508,25.018,1,0,0,0,0.0,168.77,136.287,622.716,31.327,25.322,1.0,0.0,0.0,0.0,0.0
00:05:25.176,1705632870398,177.787,135.235,186.678,134.441,608.608,30.552,25.377,1,0,0,0,0.0,168.323,136.622,636.343,30.998,26.151,1.0,0.0,0.0,0.0,0.0
00:05:25.193,1705632870415,177.622,135.784,186.57,134.569,616.238,30.532,25.711,1,0,0,0,0.0,168.896,136.029,606.174,31.715,24.348,1.0,0.0,0.0,0.0,0.0
00:05:25.210,1705632870432,177.944,135.312,186.475,134.115,585.505,30.401,24.534,1,0,0,0,0.0,168.674,136.998,657.06,31.042,26.964,1.0,0.0,0.0,0.0,0.0
00:05:25.226,1705632870448,177.709,135.535,186.56,134.321,594.064,30.532,24.786,1,0,0,0,0.0,169.413,136.509,623.301,30.97,25.638,1.0,0.0,0.0,0.0,0.0
00:05:25.243,1705632870465,177.624,136.03,186.577,134.497,606.177,30.472,25.341,1,0,0,0,0.0,168.858,136.749,646.594,31.297,26.318,1.0,0.0,0.0,0.0,0.0
00:05:25.260,1705632870482,177.89,135.565,186.661,134.415,605.213,30.601,25.194,1,0,0,0,0.0,168.671,137.562,684.349,30.781,28.322,1.0,0.0,0.0,0.0,0.0
00:05:25.276,1705632870498,177.75,135.719,186.615,134.554,603.581,30.659,25.079,1,0,0,0,0.0,169.119,136.715,643.23,31.129,26.323,1.0,0.0,0.0,0.0,0.0
00:05:25.293,1705632870515,177.883,135.507,186.724,134.395,606.673,30.633,25.229,1,0,0,0,0.0,168.884,136.885,651.688,31.315,26.511,1.0,0.0,0.0,0.0,0.0
