rec_time,UTC,Pupil X,Pupil Y,Left Eye_Pupil X,Left Eye_Pupil Y,Left Eye_Pupil Area,Left Eye_Pupil Height,Left Eye_Pupil Width,Left Eye_Fixations_Fixations,Left Eye_Fixations_Fixations Duration,Left Eye_Saccades_Saccades,Left Eye_Saccades_Saccades Duration,Left Eye_Saccades_Saccades Angle,Right Eye_Pupil X,Right Eye_Pupil Y,Right Eye_Pupil Area,Right Eye_Pupil Height,Right Eye_Pupil Width,Right Eye_Fixations_Fixations,Right Eye_Fixations_Fixations Duration,Right Eye_Saccades_Saccades,Right Eye_Saccades_Saccades Duration,Right Eye_Saccades_Saccades Angle
00:06:50.687,1705741533307,195.698,103.517,181.372,103.695,1315.283,41.27,40.599,1,0,0,0,0.0,209.992,103.361,1170.473,39.802,37.462,1.0,0.0,0.0,0.0,0.0
00:06:50.704,1705741533324,195.77,103.591,181.413,103.768,1281.522,40.664,40.147,1,0,0,0,0.0,210.025,103.339,1134.776,39.443,36.649,1.0,0.0,0.0,0.0,0.0
00:06:50.720,1705741533340,195.835,103.476,181.462,103.718,1252.961,40.17,39.734,1,0,0,0,0.0,210.128,103.415,1102.93,38.639,36.362,1.0,0.0,0.0,0.0,0.0
00:06:50.737,1705741533357,195.882,103.377,181.402,103.602,1207.014,39.696,38.734,1,0,0,0,0.0,210.208,103.235,1064.916,38.426,35.303,1.0,0.0,0.0,0.0,0.0
00:06:50.754,1705741533374,195.82,103.42,181.385,103.664,1175.258,39.244,38.15,1,0,0,0,0.0,210.362,103.152,1027.275,37.901,34.528,1.0,0.0,0.0,0.0,0.0
00:06:50.770,1705741533390,195.885,103.358,181.489,103.598,1153.114,38.951,37.712,1,0,0,0,0.0,210.255,103.176,1017.81,37.641,34.446,1.0,0.0,0.0,0.0,0.0
00:06:50.787,1705741533407,195.888,103.39,181.505,103.645,1131.879,38.595,37.36,1,0,0,0,0.0,210.281,103.118,983.291,37.216,33.658,1.0,0.0,0.0,0.0,0.0
00:06:50.804,1705741533424,195.811,103.24,181.449,103.367,1090.827,38.186,36.39,1,0,0,0,0.0,210.27,103.136,970.18,36.765,33.616,1.0,0.0,0.0,0.0,0.0
00:06:50.820,1705741533440,195.827,103.45,181.541,103.645,1098.968,38.229,36.62,1,0,0,0,0.0,210.172,103.113,955.656,36.598,33.264,1.0,0.0,0.0,0.0,0.0
00:06:50.837,1705741533457,195.896,102.969,181.513,102.918,1032.341,37.92,34.68,1,0,0,0,0.0,210.112,103.255,948.396,36.178,33.394,1.0,0.0,0.0,0.0,0.0
00:06:50.854,1705741533474,195.919,103.339,181.58,103.621,1061.146,37.525,36.023,1,0,0,0,0.0,210.278,103.021,926.144,36.113,32.669,1.0,0.0,0.0,0.0,0.0
